Country.of.Origin,Number.of.Bags,Variety,Processing.Method,Aroma,Flavor,Acidity,Balance,Sweetness,Moisture,altitude_mean_meters
Ethiopia,300,Other,Washed / Wet,8.75,8.67,8.58,8.42,10,0.12,2075
Ethiopia,300,Other,Washed / Wet,8.25,8.5,8.5,8.33,10,0.12,2075
Ethiopia,50,Other,Natural / Dry,8.08,8.58,8.5,8.42,10,0.1,1822.5
United States,10,Other,Washed / Wet,8.25,8.42,8.33,8.17,10,0,1872
United States,10,Other,Washed / Wet,8.08,8.67,8.42,8.08,10,0,1943
United States,10,Other,Washed / Wet,8,8.5,8.17,8,10,0,2080
China,3,Catimor,Washed / Wet,8.42,8.25,8.17,8,10,0.1,1450
Ethiopia,250,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.17,8.33,10,0,1850
United States,10,Other,Washed / Wet,8,8.25,8.5,8,10,0,2019
Costa Rica,250,Caturra,Washed / Wet,8.08,8.25,8.17,8.33,10,0.11,1300
Mexico,14,Other,Washed / Wet,8.17,8.25,8,8.17,10,0.13,1320
United States,10,Other,Washed / Wet,8.25,8.33,8.17,8.17,10,0,2112
Brazil,3,Bourbon,Natural / Dry,8.5,8.5,8,8,10,0.12,1250
Uganda,100,SL14,Washed / Wet,8.42,8.17,8.17,7.92,10,0.12,1950
Taiwan,20,Sumatra,Pulped natural / honey,8,8,8.25,8.17,10,0,1200
Brazil,29,Bourbon,Natural / Dry,8.5,8.17,7.75,8,10,0.12,1300
Costa Rica,250,Caturra,Washed / Wet,8.17,7.83,8.08,8,10,0,1300
Kenya,320,SL34,Washed / Wet,8.08,8,8.25,7.92,10,0.12,1800
United States,10,Other,Washed / Wet,7.67,8.17,8,8.08,10,0,1941
Thailand,53,Caturra,Washed / Wet,7.83,8.33,8.25,7.92,10,0.1,1300
Taiwan,10,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,8.08,7.83,10,0.12,1000
Kenya,12,SL28,Natural / Dry,8.08,8.08,8,8.08,10,0.11,1754
Brazil,7,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,10,0.11,1250
Colombia,1,Caturra,Washed / Wet,7.75,7.92,8.08,8.17,10,0.12,1200
Kenya,1,SL28,Washed / Wet,7.92,8.17,8.5,7.92,10,0.11,1860
Uganda,1,Other,Washed / Wet,8.25,8,8.08,7.92,10,0.1,1650
Uganda,1,SL14,Natural / Dry,8.17,8.17,8.08,7.75,10,0.12,1650
Colombia,275,Caturra,Washed / Wet,8,8,8.17,8,10,0,1800
Panama,37,Gesha,Washed / Wet,8,8,8.08,8,10,0.08,1600
Guatemala,150,Bourbon,Washed / Wet,7.83,8,8.17,8,10,0.12,1524
Guatemala,275,Catuai,Washed / Wet,8,8,8.33,7.83,10,0.1,1417.32
El Salvador,275,Bourbon,Washed / Wet,7.92,8.17,7.92,7.83,10,0.1,1500
El Salvador,19,Bourbon,Semi-washed / Semi-pulped,7.83,8,7.75,8.17,10,0.11,1350
Panama,100,Caturra,Natural / Dry,8,7.75,7.83,8.58,10,0.09,1680
Kenya,16,SL28,Natural / Dry,7.92,7.92,8.08,7.92,10,0.1,1900
Ethiopia,320,Other,Natural / Dry,7.83,8,7.92,8.08,10,0.12,1900
Uganda,320,SL14,Washed / Wet,8.33,7.92,7.92,7.92,10,0.12,1600
Guatemala,250,Bourbon,Washed / Wet,8,7.83,8.33,8,10,0.11,1731.264
Uganda,150,SL14,Washed / Wet,8.08,8,7.67,7.83,10,0.12,1950
Brazil,5,Bourbon,Semi-washed / Semi-pulped,8,8,7.67,8,10,0.11,1250
China,3,Catimor,Natural / Dry,8,8,7.83,7.75,10,0.1,1700
Guatemala,36,Pacamara,Natural / Dry,7.83,7.75,7.67,8.58,10,0.11,1770
Costa Rica,250,Caturra,Washed / Wet,7.92,8.08,7.92,8.08,9.33,0,1300
Costa Rica,250,Caturra,Washed / Wet,8,7.58,7.67,8.5,10,0.1,1300
Kenya,20,SL34,Washed / Wet,7.83,8.08,8.08,7.75,10,0,1600
Kenya,300,SL34,Washed / Wet,8,7.92,8.08,7.75,10,0,1200
Colombia,275,Caturra,Washed / Wet,8.17,7.92,8,7.83,10,0.11,1550
Colombia,250,Caturra,Natural / Dry,7.58,8.08,7.83,7.92,10,0.12,1550
Indonesia,54,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,8,7.83,10,0.11,1325
Guatemala,250,Caturra,Washed / Wet,8.25,8,7.92,7.67,10,0,1400
Colombia,250,Caturra,Natural / Dry,8.17,7.83,8.08,7.75,10,0,2560
Colombia,250,Caturra,Natural / Dry,7.83,8,7.75,7.83,10,0.11,2136
Uganda,200,SL14,Washed / Wet,8.17,7.92,7.75,7.75,10,0.11,1800
Costa Rica,36,Catuai,Washed / Wet,7.83,8,7.92,7.83,10,0.12,1900
Mexico,1,Typica,Washed / Wet,7.83,8,7.75,7.83,10,0.09,1300
Kenya,38,SL34,Washed / Wet,7.75,7.83,8.08,7.75,10,0,1580
Brazil,31,Mundo Novo,Natural / Dry,8,8,7.83,7.67,10,0.12,1100
